Page,ETS(clicks)
Andy_Samberg_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,A)>"
Andy_Warhol_en.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
Andy_Warhol_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Andy_Warhol_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,A)>"
Anexo:Episodios_de_Naruto:_Shippūden_es.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,A)>"
Anexo:Tipos_de_texto_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Angela_Lansbury_en.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
Angela_Lansbury_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Angela_Merkel_de.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Angela_Merkel_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Angela_Merkel_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Angelina_Jolie_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Angelina_Jolie_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Aniversario_de_bodas_es.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Ann_Coulter_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Ann_Dunham_en.wikipedia.org_all-access_all-agents,"<ETS(M,A,N)>"
Anna_Faris_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Anna_Kendrick_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Anna_Kendrick_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Anna_Nicole_Smith_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Anna_Nicole_Smith_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,A)>"
Annabelle_(film)_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Annabelle_(film)_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Anne_Frank_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Anne_Frank_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Anne_Hathaway_en.wikipedia.org_desktop_all-agents,"<ETS(M,A,A)>"
Anne_Hathaway_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
"Anne,_Princess_Royal_en.wikipedia.org_mobile-web_all-agents","<ETS(M,N,M)>"
Anonymous_(group)_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,A)>"
Anonymous_(group)_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Anonymous_(group)_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,A,A)>"
Ant-Man_(film)_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,A)>"
Ant-Man_(film)_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,A)>"
Anterior_interventricular_branch_of_left_coronary_artery_en.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
Anterior_interventricular_branch_of_left_coronary_artery_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Anthony_Bourdain_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Anthony_Eden_en.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
Anthony_Hopkins_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Anthony_Joshua_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Anthony_Joshua_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
Anthony_Kiedis_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Anthony_Michael_Hall_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Anthony_Weiner_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Antigua_Grecia_es.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Antiguo_Egipto_es.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Antoine_Griezmann_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,A)>"
Antoine_Griezmann_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
Antoine_Griezmann_fr.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Anton_Yelchin_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Anton_Yelchin_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Antonin_Scalia_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Antropología_es.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Anushka_Sharma_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Anushka_Sharma_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,A,M)>"
Aokigahara_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Aparato_circulatorio_es.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Aparato_digestivo_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Aparato_digestivo_es.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,M)>"
Aparato_digestivo_es.wikipedia.org_mobile-web_all-agents,"<ETS(M,A,M)>"
Aparato_reproductor_masculino_es.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,A)>"
Aparato_respiratorio_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Apocalypse_(comics)_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,A,M)>"
Apple_Inc._en.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,M)>"
Apple_Inc._en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,A)>"
April_Fools'_Day_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,A)>"
Aquaman_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
AR-15_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Archer_(TV_series)_en.wikipedia.org_all-access_all-agents,"<ETS(M,A,M)>"
Archer_(TV_series)_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Are_You_the_One?_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
Area_51_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Argentina_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Argentina_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Argentina_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Argentina_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Argentina_es.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Argentina_es.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Argentina_national_football_team_en.wikipedia.org_all-access_all-agents,"<ETS(A,N,N)>"
Ariana_Grande_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Ariana_Grande_es.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Ariel_Winter_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Ariel_Winter_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Arijit_Singh_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Arijit_Singh_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
Aristóteles_es.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Aristóteles_es.wikipedia.org_desktop_all-agents,"<ETS(M,N,A)>"
Aristóteles_es.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Aristotle_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Armaan_Malik_en.wikipedia.org_all-access_all-agents,"<ETS(M,A,A)>"
Armenia_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Armenia_en.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,M)>"
Armenia_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,Ad,M)>"
Armenian_Genocide_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
Arnold_Palmer_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Arnold_Schwarzenegger_en.wikipedia.org_desktop_all-agents,"<ETS(M,Ad,M)>"
Arnold_Schwarzenegger_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,N)>"
Arrow_(TV_series)_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Arrow_(TV_series)_en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,M)>"
Arsenal_F.C._en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Arsenal_F.C._en.wikipedia.org_mobile-web_all-agents,"<ETS(M,N,A)>"
Arte_es.wikipedia.org_all-access_all-agents,"<ETS(M,N,M)>"
Artificial_intelligence_en.wikipedia.org_all-access_all-agents,"<ETS(M,N,A)>"
Artificial_intelligence_en.wikipedia.org_desktop_all-agents,"<ETS(M,N,M)>"
Asa_Butterfield_en.wikipedia.org_all-access_all-agents,"<ETS(M,Ad,M)>"
